Year ,Month ,RATED KW,VOLTS ,RATED AMP,TESTING AMP,TEMPERATURE,HUMIDITY ,Fault 
2018,February,0.75,340,4,1.5,22.63,11.60,Water Penetrater
2018,February,1.5,361,3.65,1.6,18.84,9.66,Bearing Damage
2018,February,0.15,363,0.68,3.4,0.65,0.34,Bearing Jam
2018,February,0.12,397,0.54,0.3,0.41,0.21,Bush Jam
2018,February,0.55,254,1.53,0.8,3.31,1.70,Water Penetrater
2018,March,0.45,214,1.5,0.9,3.18,1.63,Phase Missing
2018,March,1.1,385,2.13,1.7,6.42,3.29,Over load
2018,March,0.75,224,5.5,2.5,42.78,21.92,Over load
2018,March,0.15,229,0.68,0.39,0.65,0.34,Bearing Jam
2018,March,2.2,352,4.6,2.2,29.92,15.34,Water Penetrater
2018,March,0.08,332,0.36,0.21,0.18,0.09,Insulation Weak
2018,March,0.15,233,0.68,0.39,0.65,0.34,Insulation Weak
2018,March,3,323,6.5,3.2,59.75,30.62,Water Penetrater
2018,March,0.75,369,5.5,2.5,42.78,21.92,Over load
2018,March,3,351,6.5,3.2,59.75,30.62,Water Penetrater
2018,March,0.4,353,3,1.2,12.73,6.52,Over Load
2018,March,1.1,222,2.7,1.7,10.31,5.28,Over load
2018,March,,279,,0.1,0.00,0.00,Insulation Weak
2018,March,,236,,,0.00,0.00,Winding Burst
2018,March,,276,,,0.00,0.00,Winding Burst
2018,March,,216,,,0.00,0.00,Winding Burst
2018,March,2.2,212,4.6,2.3,29.92,15.34,Winding Burst
2018,March,0.06,293,0.3,0.1,0.13,0.07,Insulation Weak
2018,March,1.1,316,2.7,1.5,10.31,5.28,Over load
2018,March,0.08,255,0.36,0.21,0.18,0.09,Over load
2018,April,0.12,384,0.56,0.28,0.44,0.23,Insulation Weak
2018,April,1.5,337,3.3,1.9,15.40,7.89,Phase Missing
2018,April,0.75,354,1.97,0.9,5.49,2.81,Over load
2018,April,0.06,379,0.27,0.1,0.10,0.05,Over load
2018,April,7.5,354,15.6,7.6,344.16,176.37,Insulation Weak
2018,April,0.4,356,1.3,0.8,2.39,1.22,Insulation Weak
2018,April,1.7,262,3.6,1.7,18.33,9.39,Water Penetrater
2018,April,1.1,207,2.7,2.2,10.31,5.28,Over load
2018,April,0.12,380,0.56,0.28,0.44,0.23,Insulation Weak
2018,April,0.9,286,0.61,0.2,0.53,0.27,Bearing Jam
2018,May,0.37,334,1,0.4,1.41,0.72,Bearing Damage
2018,May,3,315,6.5,3.3,59.75,30.62,Water Penetrater
2018,May,,331,,,0.00,0.00,Jam
2018,May,3,273,6.5,1.8,59.75,30.62,Water Penetrater
2018,May,0.12,377,0.54,0.28,0.41,0.21,Bearing Jam
2018,May,0.12,264,0.54,0.3,0.41,0.21,Bearing Jam
2018,May,,302,,0.1,0.00,0.00,Insulation Weak
2018,May,1.1,246,2.13,1.7,6.42,3.29,Over load
2018,May,,291,,0.8,0.00,0.00,Over load
2018,May,7.5,395,14.8,3.4,309.77,158.74,Over load
2018,June,5.5,400,12.6,4,224.52,115.06,Phase Missing
2018,June,0.75,328,7,3,69.30,35.51,Water Penetrater
2018,June,3,307,6.2,2,54.36,27.86,Water Penetrater
2018,June,0.75,291,4.9,2.8,33.96,17.40,over Load
2018,June,,273,,0.2,0.00,0.00,over Load
2018,June,0.37,225,3,1.7,12.73,6.52,over Load
2018,July,5.5,298,11.2,5,177.40,90.91,Shaft Damage
2018,July,0.05,201,0.49,0.2,0.34,0.17,Over Load
2018,July,0.08,306,0.36,0.21,0.18,0.09,Over Load
2018,July,0.08,370,0.36,0.22,0.18,0.09,Over Load
2018,July,,329,,2,0.00,0.00,Water Penetration
2018,July,0.08,389,0.36,0.25,0.18,0.09,Over Load
2018,July,0.08,329,0.36,0.25,0.18,0.09,Over Load
2018,July,0.55,376,1.6,0.5,3.62,1.86,Over Load
2018,July,0.75,274,1.97,0.8,5.49,2.81,Over Load
2018,July,0.75,309,1.97,0.8,5.49,2.81,Over Load
2018,July,3,311,6.5,1.9,59.75,30.62,Water Penetration
